n	plant_id	ploidy	habitat	W_g	TW_g	DW_g	area_cm2	RWC	LMA_gm2	pixels	p_cm2	cup_mg	ws_mg	s_mg	tray_id	fvfm_avg	SLA	whc_p	CN_ratio	Np
32	SO18-H2-06-32	2x	slope	0.0211	0.026	0.0049	0.64211567	76.7773	76.31023865	9093	14161	27.27	31.49	4.22	D4	0.7235	131.0440142	76.77725118	53.2929	0.69
33	SO18-H2-06-43	3x	slope	0.017	0.0201	0.0044	0.60758421	80.2548	72.41794514	8604	14161	NA	NA	NA	NA	0.741	138.0873205	71.97452229	NA	NA
34	SO18-H2-06-44	2x	slope	0.0117	0.0141	0.0026	0.366428925	79.1304	70.95509732	5189	14161	NA	NA	NA	NA	0.746	140.9342017	77.39130435	NA	NA
35	SO18-H2-06-45	2x	slope	0.0108	0.012	0.0026	0.34383165	87.2340	75.61840214	4869	14161	NA	NA	NA	NA	0.7685	132.2429424	72.34042553	NA	NA
36	SO18-H2-06-10	3x	slope	0.0154	0.0184	0.0043	0.337123085	78.7234	127.5498534	4774	14161	28	31.17	3.17	A1	0.724	78.40071733	69.5035461	36.7991	1.20
37	SO18-H2-06-13	2x	slope	0.0147	0.0235	0.0044	0.575736177	53.9267	76.42389305	8153	14161	NA	NA	NA	NA	0.746	130.8491311	76.96335079	NA	NA
38	SO18-H2-06-11	2x	slope	0.0339	0.0501	0.0076	NA	61.8824	NA	NA	14161	27.15	32.1	4.95	A5	0.794	NA	82.11764706	25.6394	1.73
39	SO18-H2-06-33	3x	slope	0.0244	0.0464	0.0061	0.681025351	45.4094	89.57082124	9644	14161	27.35	33.51	6.16	H2	0.813	111.6435002	84.86352357	25.6627	1.76
40	SO18-H2-06-28	3x	slope	0.0194	0.0263	0.0049	NA	67.7570	NA	NA	14161	27.37	32.37	5	C1	0.792	NA	77.10280374	28.5732	1.52
41	SO18-H1-05-23	3x	riverbed	0.014	0.0203	0.0041	0.315090742	61.1111	130.1212461	4462	14161	NA	NA	NA	NA	0.746	76.85140053	74.69135802	NA	NA
42	SO18-H1-05-19	3x	riverbed	0.0148	0.019	0.0045	0.398276958	71.0345	112.9867021	5640	14161	26.64	31.26	4.62	D3	0.7715	88.50599063	68.96551724	36.5956	1.18
43	SO18-H1-05-36	3x	riverbed	0.0285	0.0364	0.0085	0.818162559	71.6846	103.8913344	11586	14161	28.04	34.82	6.78	D8	0.8145	96.25441872	69.53405018	38.6782	1.11
44	SO18-H1-05-07	4x	riverbed	0.0097	0.0129	0.0032	0.347998023	67.0103	91.95454545	4928	14161	NA	NA	NA	NA	0.704	108.7493821	67.01030928	NA	NA
45	SO18-H1-05-30	2x	riverbed	0.013	0.0182	0.0036	0.480686392	64.3836	74.89290436	6807	14161	NA	NA	NA	NA	0.743	133.5239978	75.34246575	NA	NA
46	SO18-H1-05-34	2x	riverbed	0.0217	0.026	0.0053	0.717463456	79.2271	73.87135827	10160	14161	26.19	30.46	4.27	B5	0.801	135.3704634	74.39613527	34.4767	1.25
47	SO18-H1-05-32	4x	riverbed	0.0142	0.0277	0.0042	0.416284161	42.5532	100.8926209	5895	14161	NA	NA	NA	NA	0.7125	99.11527636	82.12765957	NA	NA
48	SO18-H1-05-06	2x	riverbed	0.0385	0.047	0.0096	1.128945696	77.2727	85.03509101	15987	14161	27.02	31.32	4.3	A4	0.8115	117.59851	74.3315508	24.1664	1.72
49	SO18-H1-05-25	2x	riverbed	0.018	0.0258	0.0036	0.552856437	64.8649	65.11636224	7829	14161	NA	NA	NA	NA	0.7985	153.5712324	83.78378378	NA	NA
50	SO18-H1-05-29	3x	riverbed	0.0189	0.0224	0.0055	0.49297366	79.2899	111.567827	6981	14161	27.7	33.49	5.79	C6	0.767	89.63157455	67.4556213	41.0039	1.08
51	SO18-H1-05-21	4x	riverbed	0.0094	0.0135	0.0028	0.345879528	61.6822	80.95304206	4898	14161	NA	NA	NA	NA	0.739	123.528403	73.8317757	NA	NA
52	SO18-H1-05-15	4x	riverbed	0.0139	0.0206	0.0048	0.504554763	57.5949	95.13337999	7145	14161	26.76	30.8	4.04	G9	NA	105.1155756	69.62025316	51.6167	0.86
53	SO18-H1-05-27	3x	riverbed	0.0114	0.0181	0.0035	0.355907069	54.1096	98.34027778	5040	14161	NA	NA	NA	NA	0.712	101.6877339	76.02739726	NA	NA
54	SO18-H1-05-01	4x	riverbed	0.0168	0.0215	0.0029	0.416213544	74.7312	69.67577197	5894	14161	NA	NA	NA	NA	0.731	143.5219118	84.40860215	NA	NA
55	SO18-H1-05-38	4x	riverbed	0.0172	0.021	0.0056	0.470376386	75.3247	119.0535956	6661	14161	26.48	32.13	5.65	F3	0.765	83.99578319	63.63636364	52.5147	0.83
56	SO18-H1-05-17	2x	riverbed	0.0235	0.027	0.0066	0.763999718	82.8431	86.38746649	10819	14161	27.21	32.92	5.71	F4	0.807	115.757533	67.64705882	49.8647	0.89
57	SO18-H1-05-35	2x	riverbed	0.0268	0.0366	0.0048	0.814419886	69.1824	58.93765716	11533	14161	27.35	32.32	4.97	D12	0.774	169.6708095	84.90566038	40.2976	1.09
58	SO18-H1-05-46	4x	riverbed	0.0114	0.0153	0.0035	0.31071252	66.9492	112.6443182	4400	14161	NA	NA	NA	NA	0.792	88.7750058	70.33898305	NA	NA
59	SO18-H1-05-22	2x	riverbed	0.0395	0.0557	0.0106	1.084033613	64.0798	97.78294574	15351	14161	26.27	32.42	6.15	A12	0.795	102.267322	76.49667406	51.3347	0.87
60	SO18-H1-05-11	3x	riverbed	0.0329	0.046	0.0095	0.852340936	64.1096	111.4577465	12070	14161	27.03	32.31	5.28	A2	0.7655	89.72009857	73.97260274	32.4638	1.27
61	SO18-H1-05-31	2x	riverbed	0.0155	0.0263	0.004	0.437257256	51.5695	91.47932817	6192	14161	NA	NA	NA	NA	0.759	109.314314	82.06278027	NA	NA
62	SO18-H1-05-20	2x	riverbed	0.0158	0.0187	0.0036	0.46868159	80.7947	76.81120988	6637	14161	NA	NA	NA	NA	NA	130.1893306	76.1589404	NA	NA
63	SO18-H1-11-21	4x	riverbed	0.0146	0.0182	0.0046	0.466421863	73.5294	98.62316427	6605	14161	27.56	31.12	3.56	B3	NA	101.3960571	66.17647059	34.6679	1.25
64	SO18-H1-11-27	2x	riverbed	0.0207	0.0296	0.0055	0.647835605	63.0705	84.89808153	9174	14161	27.38	32.85	5.47	C11	NA	117.7882918	77.17842324	29.4110	1.52
65	SO18-H1-11-44	2x	riverbed	0.0244	0.034	0.0065	0.845985453	65.0909	76.83347245	11980	14161	27.49	32.41	4.92	C10	NA	130.1516082	76.36363636	41.1622	1.09
66	SO18-H1-11-46	2x	riverbed	0.0151	0.0202	0.0041	0.570016242	68.3230	71.92777502	8072	14161	NA	NA	NA	NA	NA	139.0283517	74.53416149	NA	NA
67	SO18-H1-11-16	2x	riverbed	0.0275	0.0338	0.0074	0.892168632	76.1364	82.94396074	12634	14161	26.64	33.81	7.17	C8	NA	120.5633287	71.96969697	33.2747	1.34
68	SO18-H1-11-19	4x	riverbed	0.0095	0.0109	0.0024	0.270743592	83.5294	88.64475743	3834	14161	NA	NA	NA	NA	NA	112.8098298	71.76470588	NA	NA
69	SO18-H1-11-38	4x	riverbed	0.0323	0.0391	0.0113	0.872890333	75.5396	129.4549794	12361	14161	26.88	35.49	8.61	A6	NA	77.24693209	59.35251799	36.4509	1.23
70	SO18-H1-11-14	4x	riverbed	0.0113	0.0171	0.004	0.371866394	55.7252	107.5655146	5266	14161	NA	NA	NA	NA	NA	92.9665984	69.46564885	NA	NA
71	SO18-H1-11-01	4x	riverbed	0.0168	0.0222	0.0053	0.504907845	68.0473	104.9696503	7150	14161	27.42	32.19	4.77	C7	NA	95.26563122	68.63905325	37.5465	1.17
72	SO18-H1-11-08	2x	riverbed	0.0159	0.0212	0.0041	0.549608079	69.0058	74.59861236	7783	14161	NA	NA	NA	NA	NA	134.0507509	76.02339181	NA	NA
73	SO18-H1-11-25	2x	riverbed	0.0135	0.0171	0.0037	0.509568533	73.1343	72.610449	7216	14161	NA	NA	NA	NA	NA	137.7212252	72.3880597	NA	NA
74	SO18-H1-11-36	2x	riverbed	0.0208	0.0294	0.0077	0.665136643	60.3687	115.7656864	9419	14161	27.45	35.15	7.7	F1*	NA	86.38138219	64.51612903	40.1463	0.88
75	SO18-H1-11-11	4x	riverbed	0.0206	0.0269	0.0065	0.638726079	69.1176	101.7650636	9045	14161	26.55	31.93	5.38	B10	NA	98.26555056	68.1372549	35.9319	1.24
76	SO18-H1-11-48	2x	riverbed	0.0192	0.0252	0.0061	0.541699033	68.5864	112.608656	7671	14161	27.2	32	4.8	F2	NA	88.80312009	68.06282723	41.7737	1.08
77	SO18-H1-11-41	2x	riverbed	0.0072	0.0097	0.0023	0.292917167	66.2162	78.5204918	4148	14161	NA	NA	NA	NA	NA	127.3552899	68.91891892	NA	NA
78	SO18-H1-11-22	4x	riverbed	0.0231	0.0405	0.0092	0.754395876	44.4089	121.9518862	10683	14161	26.56	33.15	6.59	B7	NA	81.99955174	70.60702875	32.5545	1.40
79	SO18-H1-11-12	2x	riverbed	0.0237	0.031	0.0058	0.75651437	71.0317	76.66741342	10713	14161	27.06	31.27	4.21	A7	NA	130.4335121	76.98412698	28.9697	1.51
